Image,CD11c (Opal 520): Mean,CD11c (Opal 520): Mean_BPAT_threshold,CD11c (Opal 520): Mean_BPAT_class
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1012,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3306,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.775,6.703738588588589,positive
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6046,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2916,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6473,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7897,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2181,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2606,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1857,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6739,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1225,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3114,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0783,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8055,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.859,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1492,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.5356,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.8571,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2092,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4605,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.5259,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6407,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.359,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.719,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2707,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9541,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.6486,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8699,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.514,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2168,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3194,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.866,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6257,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3376,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.8644,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4986,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3482,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.0769,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3394,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3187,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7452,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5828,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.0464,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.4531,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4866,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9127,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.547,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4287,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.6278,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.9511,6.703738588588589,positive
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.9797,6.703738588588589,positive
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3292,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.5955,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.6006,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2903,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7928,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0406,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6236,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.952,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5343,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.9327,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1509,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3604,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9637,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4189,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6616,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.7348,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7046,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0312,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1973,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7272,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.443,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4278,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6857,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9964,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7206,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2956,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.3017,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0306,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0276,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",10.869,6.703738588588589,positive
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9261,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4826,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",7.7688,6.703738588588589,positive
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7058,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4409,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.1754,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4187,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7701,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4682,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6042,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9985,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6277,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3687,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4459,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8263,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0207,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7481,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4199,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.8772,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5475,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1144,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2922,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2478,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4307,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3324,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6287,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.215,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1009,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6054,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4529,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2172,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0676,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2145,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8492,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8291,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5252,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1145,6.703738588588589,negative
