Image,CD11c (Opal 520): Mean
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1012
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3306
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.775
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6046
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2916
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6473
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7897
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2181
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2606
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1857
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6739
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1225
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3114
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0783
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8055
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.859
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1492
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.5356
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.8571
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2092
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4605
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.5259
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6407
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.359
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.719
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2707
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9541
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.6486
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8699
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.514
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2168
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3194
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.866
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6257
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3376
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.8644
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.4986
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3482
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.0769
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3394
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3187
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7452
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5828
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.0464
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.4531
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4866
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9127
